"","Player","PER","G"
"185","Willis Reed",16.43,63
"186","Jameer Nelson",16.43,30
"187","Andrew Bynum",16.4,68
"188","Paul Pierce",16.38,154
"189","Khris Middleton",16.38,19
"190","Darnell Valentine",16.37,16
"191","Channing Frye",16.36,33
"192","Jason Maxiell",16.34,17
"193","Antawn Jamison",16.34,33
"194","Lamar Odom",16.32,97
"195","Jayson Tatum",16.3,19
"196","Marcus Camby",16.23,36
"197","Terry Porter",16.21,71
"198","Don Nelson",16.21,136
"199","Jeff Foster",16.19,29
"200","Lou Hudson",16.18,46
"201","Dan Roundfield",16.17,18
"202","Richard Hamilton",16.15,116
"203","Tim Thomas",16.14,38
"204","Connie Hawkins",16.14,7
"205","Fat Lever",16.11,28
"206","Brandon Bass",16.09,26
"207","Hersey Hawkins",16.07,61
"208","Mike Gminski",16.07,21
"209","Mitch Richmond",16.04,17
"210","Earl Monroe",16.02,69
"211","Pete Maravich",15.98,12
"212","Johnny Green",15.94,12
"213","Danny Manning",15.92,11
"214","Goran Dragic",15.92,30
"215","Ray Allen",15.87,163
"216","Serge Ibaka",15.85,103
"217","Calvin Natt",15.81,32
"218","Slick Watts",15.79,9
"219","Darrell Griffith",15.78,21
"220","Victor Oladipo",15.77,7
"221","DeMar DeRozan",15.77,47
"222","Tiago Splitter",15.75,42
"223","Josh Howard",15.73,52
"224","Shawn Marion",15.64,82
"225","Doc Rivers",15.63,59
"226","Jack Twyman",15.61,22
"227","Vinnie Johnson",15.6,99
"228","Bryant Stith",15.6,12
"229","Dave Bing",15.59,20
"230","Darryl Dawkins",15.56,93
"231","Andrew Bogut",15.54,53
"232","Kiki Vandeweghe",15.54,27
"233","Horace Grant",15.51,157
"234","Ty Lawson",15.5,13
"235","Ben Wallace",15.49,116
"236","Jerome Kersey",15.49,77
"237","Jimmy Butler",15.49,35
"238","Bison Dele",15.46,31
"239","Elton Brand",15.44,25
"240","Kerry Kittles",15.34,51
"241","Fred Hoiberg",15.33,18
"242","Luol Deng",15.32,56
"243","Norm Nixon",15.32,52
"244","Andre Miller",15.32,18
"245","Mark Jackson",15.31,90
"246","Kyle Lowry",15.31,58
"247","Bismack Biyombo",15.29,20
"248","Bailey Howell",15.28,65
"249","Jonathon Simmons",15.28,15
"250","Sidney Moncrief",15.27,67
"251","Zelmo Beaty",15.27,59
"252","Maurice Lucas",15.26,70
"253","Larry Kenon",15.24,14
"254","John Lucas",15.23,24
"255","Jarrett Jack",15.22,12
"256","Clifford Ray",15.21,51
"257","Zydrunas Ilgauskas",15.17,60
"258","Steve Mix",15.17,45
"259","Chris Mullin",15.17,55
"260","Austin Croshere",15.16,36
"261","Richie Guerin",15.16,31
"262","Isaiah Rider",15.16,13
"263","Tom Meschery",15.14,39
"264","Jo Jo White",15.13,80
"265","Ron Harper",15.11,86
"266","Nate Thurmond",15.11,75
"267","Antonio Daniels",15.1,40
