"","Player","PER","G"
"809","Darrell Armstrong",10.08,7
"810","Bill Cartwright",10.06,103
"811","Bill Willoughby",10.05,19
"812","Chico Vaughn",10.03,23
"813","Marvin Williams",10.01,30
"814","Adrian Griffin",10,20
"815","Norman Powell",10,27
"816","Mike Bantom",10,21
"817","Quentin Richardson",9.99,15
"818","John Paxson",9.98,89
"819","Bob Hansen",9.97,11
"820","Jumaine Jones",9.96,23
"821","Fred Roberts",9.96,29
"822","Jeff Wilkins",9.92,21
"823","Joe Smith",9.91,26
"824","Ron Anderson",9.91,18
"825","Tyrone Hill",9.88,33
"826","Josh Richardson",9.88,14
"827","Ed Nealy",9.88,15
"828","Dennis Scott",9.87,33
"829","Mark West",9.83,52
"830","M.L. Carr",9.82,29
"831","Drazen Petrovic",9.81,20
"832","Francisco Elson",9.78,20
"833","Iman Shumpert",9.77,70
"834","Luke Walton",9.74,49
"835","Brandon Jennings",9.74,7
"836","C.J. McCollum",9.72,11
"837","Robert Covington",9.7,10
"838","Don Buse",9.67,23
"839","Thabo Sefolosha",9.67,73
"840","Coby Dietrick",9.64,14
"841","Stacey King",9.61,35
"842","Royce O'Neale",9.6,11
"843","Bucky Bockhorn",9.6,22
"844","Dwight Jones",9.59,18
"845","Avery Bradley",9.59,28
"846","Frank Johnson",9.54,7
"847","Paul Neumann",9.53,15
"848","Vernon Maxwell",9.5,32
"849","Pat Cummings",9.5,10
"850","Damon Jones",9.48,15
"851","Cornell Warner",9.48,16
"852","Matt Barnes",9.46,52
"853","Terry Catledge",9.43,11
"854","Fred Jones",9.41,27
"855","Al Harrington",9.4,27
"856","Rick Robey",9.4,17
"857","Shawn Bradley",9.39,27
"858","Chris Kaman",9.38,11
"859","Joel Anthony",9.33,38
"860","Dion Waiters",9.3,18
"861","Bill Hewitt",9.3,15
"862","Gerald Green",9.28,17
"863","Don Adams",9.28,7
"864","Sam Vincent",9.26,10
"865","Rasho Nesterovic",9.21,10
"866","Craig Hodges",9.2,84
"867","Al Attles",9.19,49
"868","Sasha Vujacic",9.16,44
"869","Dick Snyder",9.15,13
"870","Stephon Marbury",9.15,11
"871","Gene Wiley",9.14,20
"872","Terry Teagle",9.14,36
"873","Kenny Anderson",9.12,16
"874","Eddie House",9.11,14
"875","Pete Myers",9.1,10
"876","Ralph Simpson",9.09,13
"877","D.J. Augustin",9.08,19
"878","K.C. Jones",9.07,88
"879","Dick Garrett",9.07,18
"880","Sam Bowie",9.06,9
"881","Wally Walker",9.05,20
"882","Jim Chones",8.95,23
"883","C.J. Miles",8.94,20
"884","Dean Meminger",8.93,33
"885","Ronald Murray",8.92,24
"886","Ramon Sessions",8.84,22
"887","Kendrick Perkins",8.81,129
"888","Quinn Buckner",8.79,32
"889","Hot Rod Hundley",8.79,21
"890","Tyler Hansbrough",8.78,19
"891","Kevin Duckworth",8.7,52
"892","James Jones",8.66,72
"893","Johnny McCarthy",8.65,26
"894","Em Bryant",8.64,18
"895","Ryan Anderson",8.63,11
"896","Shane Battier",8.62,100
"897","Mike Brown",8.62,25
"898","Kareem Rush",8.59,22
"899","Shandon Anderson",8.57,49
"900","Larry Krystkowiak",8.54,8
"901","Matt Maloney",8.53,16
"902","Andrew Lang",8.51,11
"903","Ken Charles",8.51,16
"904","Armond Hill",8.47,9
"905","Woody Sauldsberry",8.44,21
"906","Mo Williams",8.41,36
"907","Mirza Teletovic",8.4,12
"908","Arron Afflalo",8.39,7
"909","Anthony Peeler",8.38,26
"910","Omer Asik",8.37,6
"911","Matthew Dellavedova",8.35,40
"912","Clemon Johnson",8.32,38
"913","T.R. Dunn",8.31,33
"914","E'Twaun Moore",8.23,9
"915","Rick Mahorn",8.15,80
"916","Juwan Howard",8.15,10
"917","Walter McCarty",8.14,10
"918","Luc Mbah a Moute",8.14,7
"919","Frank Brickowski",8.09,21
"920","Willie McCarter",8.08,12
"921","Matt Bonner",8.03,20
"922","Matt Guokas",7.95,41
"923","Pat Riley",7.95,15
"924","Darnell Hillman",7.94,13
"925","Tree Rollins",7.85,39
"926","Brian Scalabrine",7.8,12
"927","Jim Krebs",7.79,11
"928","Lindsey Hunter",7.77,89
"929","Corie Blount",7.77,12
"930","Marc Iavaroni",7.72,13
"931","Rafer Alston",7.69,43
"932","Dave Piontek",7.67,14
"933","Terrence Ross",7.65,20
"934","Al Bianchi",7.62,11
"935","Michael Curry",7.5,25
"936","John Barnhill",7.49,11
"937","Bruce Bowen",7.45,117
"938","Wayne Hightower",7.45,12
"939","Danny Ferry",7.43,13
"940","Felton Spencer",7.36,34
"941","Juan Dixon",7.36,10
"942","Norris Cole",7.33,41
"943","Steve Blake",7.26,18
"944","Leonard Gray",7.21,9
"945","Samaki Walker",7.17,19
"946","Pablo Prigioni",7.15,28
"947","Carlos Delfino",7.12,7
"948","Steven Hunter",7.1,15
"949","Jerry Sichting",7.09,41
"950","Sam Young",7.09,13
"951","DeShawn Stevenson",7.06,21
"952","Sam Mitchell",7.01,17
"953","Greg Foster",6.87,40
"954","Hubert Davis",6.76,23
"955","Wilson Chandler",6.62,6
"956","Gordan Giricek",6.56,24
"957","Beno Udrih",6.53,21
"958","Carl Herrera",6.51,16
"959","Chris Dudley",6.47,18
"960","Slick Leonard",6.33,9
"961","Randy Foye",6.3,11
"962","Erwin Mueller",6.26,14
"963","John Salmons",6.24,14
"964","Robert Pack",6.03,12
"965","Keith Bogans",5.98,26
"966","Jason Collins",5.69,71
"967","Kent Bazemore",5.37,26
"968","Rodney Hood",5.3,24
"969","Smush Parker",5.19,7
"970","Jaren Jackson",5.05,26
"971","Mike O'Koren",4.92,11
"972","Reggie Johnson",4.84,7
"973","Sasha Pavlovic",4.7,20
"974","Charles Jones",4.69,19
"975","Leon Douglas",4.5,15
"976","Mark Madsen",4.29,17
"977","Jacque Vaughn",4.28,20
"978","Gary Phillips",3.81,11
"979","Jordan Clarkson",3.8,17
"980","Jim Loscutoff",3.37,14
"981","Semi Ojeleye",2.9,17
"982","Michael Olowokandi",2,15
